K Thermocouple Lookup Table		
Deg. C	mV	uV
0	0.00000	0
1	0.03900	39
2	0.07900	79
3	0.11900	119
4	0.15800	158
5	0.19800	198
6	0.23800	238
7	0.27700	277
8	0.31700	317
9	0.35700	357
10	0.39700	397
11	0.43700	437
12	0.47700	477
13	0.51700	517
14	0.55700	557
15	0.59700	597
16	0.63700	637
17	0.67700	677
18	0.71800	718
19	0.75800	758
20	0.79800	798
21	0.83800	838
22	0.87900	879
23	0.91900	919
24	0.96000	960
25	1.00000	1000
26	1.04100	1041
27	1.08100	1081
28	1.12200	1122
29	1.16300	1163
30	1.20300	1203
31	1.24400	1244
32	1.28500	1285
33	1.32600	1326
34	1.36600	1366
35	1.40700	1407
36	1.44800	1448
37	1.48900	1489
38	1.53000	1530
39	1.57100	1571
40	1.61200	1612
41	1.65300	1653
42	1.69400	1694
43	1.73500	1735
44	1.77600	1776
45	1.81700	1817
46	1.85800	1858
47	1.89900	1899
48	1.94100	1941
49	1.98200	1982
50	2.02300	2023
51	2.06400	2064
52	2.10600	2106
53	2.14700	2147
54	2.18800	2188
55	2.23000	2230
56	2.27100	2271
57	2.31200	2312
58	2.35400	2354
59	2.39500	2395
60	2.43600	2436
61	2.47800	2478
62	2.51900	2519
63	2.56100	2561
64	2.60200	2602
65	2.64400	2644
66	2.68500	2685
67	2.72700	2727
68	2.76800	2768
69	2.81000	2810
70	2.85100	2851
71	2.89300	2893
72	2.93400	2934
73	2.97600	2976
74	3.01700	3017
75	3.05900	3059
76	3.10000	3100
77	3.14200	3142
78	3.18400	3184
79	3.22500	3225
80	3.26700	3267
81	3.30800	3308
82	3.35000	3350
83	3.39100	3391
84	3.43300	3433
85	3.47400	3474
86	3.51600	3516
87	3.55700	3557
88	3.59900	3599
89	3.64000	3640
90	3.68200	3682
91	3.72300	3723
92	3.76500	3765
93	3.80600	3806
94	3.84800	3848
95	3.88900	3889
96	3.93100	3931
97	3.97200	3972
98	4.01300	4013
99	4.05500	4055
100	4.09600	4096
101	4.13800	4138
102	4.17900	4179
103	4.22000	4220
104	4.26200	4262
105	4.30300	4303
106	4.34400	4344
107	4.38500	4385
108	4.42700	4427
109	4.46800	4468
110	4.50900	4509
111	4.55000	4550
112	4.59100	4591
113	4.63300	4633
114	4.67400	4674
115	4.71500	4715
116	4.75600	4756
117	4.79700	4797
118	4.83800	4838
119	4.87900	4879
120	4.92000	4920
121	4.96100	4961
122	5.00200	5002
123	5.04300	5043
124	5.08400	5084
125	5.12400	5124
126	5.16500	5165
127	5.20600	5206
128	5.24700	5247
129	5.28800	5288
130	5.32800	5328
131	5.36900	5369
132	5.41000	5410
133	5.45000	5450
134	5.49100	5491
135	5.53200	5532
136	5.57200	5572
137	5.61300	5613
138	5.65300	5653
139	5.69400	5694
140	5.73500	5735
141	5.77500	5775
142	5.81500	5815
143	5.85600	5856
144	5.89600	5896
145	5.93700	5937
146	5.97700	5977
147	6.01700	6017
148	6.05800	6058
149	6.09800	6098
150	6.13800	6138
151	6.17900	6179
152	6.21900	6219
153	6.25900	6259
154	6.29900	6299
155	6.33900	6339
156	6.38000	6380
157	6.42000	6420
158	6.46000	6460
159	6.50000	6500
160	6.54000	6540
161	6.58000	6580
162	6.62000	6620
163	6.66000	6660
164	6.70100	6701
165	6.74100	6741
166	6.78100	6781
167	6.82100	6821
168	6.86100	6861
169	6.90100	6901
170	6.94100	6941
171	6.98100	6981
172	7.02100	7021
173	7.06000	7060
174	7.10000	7100
175	7.14000	7140
176	7.18000	7180
177	7.22000	7220
178	7.26000	7260
179	7.30000	7300
180	7.34000	7340
181	7.38000	7380
182	7.42000	7420
183	7.46000	7460
184	7.50000	7500
185	7.54000	7540
186	7.57900	7579
187	7.61900	7619
188	7.65900	7659
189	7.69900	7699
190	7.73900	7739
191	7.77900	7779
192	7.81900	7819
193	7.85900	7859
194	7.89900	7899
195	7.93900	7939
196	7.97900	7979
197	8.01900	8019
198	8.05900	8059
199	8.09900	8099
200	8.13800	8138
201	8.17800	8178
202	8.21800	8218
203	8.25800	8258
204	8.29800	8298
205	8.33800	8338
206	8.37800	8378
207	8.41800	8418
208	8.45800	8458
209	8.49900	8499
210	8.53900	8539
211	8.57900	8579
212	8.61900	8619
213	8.65900	8659
214	8.69900	8699
215	8.73900	8739
216	8.77900	8779
217	8.81900	8819
218	8.86000	8860
219	8.90000	8900
220	8.94000	8940
221	8.98000	8980
222	9.02000	9020
223	9.06100	9061
224	9.10100	9101
225	9.14100	9141
226	9.18100	9181
227	9.22200	9222
228	9.26200	9262
229	9.30200	9302
230	9.34300	9343
231	9.38300	9383
232	9.42300	9423
233	9.46400	9464
234	9.50400	9504
235	9.54500	9545
236	9.58500	9585
237	9.62600	9626
238	9.66600	9666
239	9.70700	9707
240	9.74700	9747
241	9.78800	9788
242	9.82800	9828
243	9.86900	9869
244	9.90900	9909
245	9.95000	9950
246	9.99100	9991
247	10.03100	10031
248	10.07200	10072
249	10.11300	10113
250	10.15300	10153
251	10.19400	10194
252	10.23500	10235
253	10.27600	10276
254	10.31600	10316
255	10.35700	10357
256	10.39800	10398
257	10.43900	10439
258	10.48000	10480
259	10.52000	10520
260	10.56100	10561
261	10.60200	10602
262	10.64300	10643
263	10.68400	10684
264	10.72500	10725
265	10.76600	10766
266	10.80700	10807
267	10.84800	10848
268	10.88900	10889
269	10.93000	10930
270	10.97100	10971
271	11.01200	11012
272	11.05300	11053
273	11.09400	11094
274	11.13500	11135
275	11.17600	11176
276	11.21700	11217
277	11.25900	11259
278	11.30000	11300
279	11.34100	11341
280	11.38200	11382
281	11.42300	11423
282	11.46500	11465
283	11.50600	11506
284	11.54700	11547
285	11.58800	11588
286	11.63000	11630
287	11.67100	11671
288	11.71200	11712
289	11.75300	11753
290	11.79500	11795
291	11.83600	11836
292	11.87700	11877
293	11.91900	11919
294	11.96000	11960
295	12.00100	12001
296	12.04300	12043
297	12.08400	12084
298	12.12600	12126
299	12.16700	12167
300	12.20900	12209
301	12.25000	12250
302	12.29100	12291
303	12.33300	12333
304	12.37400	12374
305	12.41600	12416
306	12.45700	12457
307	12.49900	12499
308	12.54000	12540
309	12.58200	12582
310	12.62400	12624
311	12.66500	12665
312	12.70700	12707
313	12.74800	12748
314	12.79000	12790
315	12.83100	12831
316	12.87300	12873
317	12.91500	12915
318	12.95600	12956
319	12.99800	12998
